算法,导航时间/s,轨迹长度/m,平均速度/(m/s),累计转角/rad,显著转弯数,最小障碍距离/m,侧向运动比例,Recovery次数,碰撞线段数
去除三维速度空间,35.31,8.85,0.251,4.275,5,0.25,0.04,2,0
最终四足适配系统,17.22,7.4,0.43,1.93,3,0.104,0.23,0,0
