算法,规划时间/s,访问节点数,路径长度/cell,累计转角/rad,显著转弯数,最小障碍距离/cell,风险线段数,路径点数
去除线段安全检测,0.00111,31,74.49,0.374,1,0.0,2,40
加入线段安全检测,0.02316,196,81.98,1.004,1,1.0,0,44
