算法,规划时间/s,访问节点数,路径长度/cell,累计转角/rad,显著转弯数,最小障碍距离/cell,风险线段数,路径点数
去除足迹膨胀与安全代价,0.01607,138,109.98,7.576,3,1.0,0,141
最终四足适配系统,0.05622,414,115.45,6.136,11,2.41,0,68
