算法,规划时间/s,访问节点数,路径长度/cell,累计转角/rad,显著转弯数,最小障碍距离/cell,风险线段数,路径点数
去除安全后处理,0.05577,414,119.32,13.172,27,2.41,0,63
最终四足适配系统,0.05514,414,115.45,6.136,11,2.41,0,68
