算法,导航时间/s,轨迹长度/m,平均速度/(m/s),累计转角/rad,显著转弯数,最小障碍距离/m,侧向运动比例,Recovery次数,碰撞线段数
去除前向偏好与头部对齐,29.93,8.26,0.276,2.864,4,0.304,0.42,1,0
最终四足适配系统,18.28,8.41,0.46,2.885,3,0.2,0.19,0,0
