算法,导航时间/s,轨迹长度/m,平均速度/(m/s),累计转角/rad,显著转弯数,最小障碍距离/m,侧向运动比例,Recovery次数,碰撞线段数
去除速度保持/恢复约束,48.58,9.75,0.201,14.33,9,0.2,0.27,4,0
最终四足适配系统,18.96,7.45,0.393,2.362,3,0.29,0.18,1,0
