算法,规划时间/s,访问节点数,路径长度/cell,累计转角/rad,显著转弯数,最小障碍距离/cell,风险线段数,路径点数
去除转角惩罚,0.01268,142,118.49,12.556,26,1.0,0,62
加入转角惩罚,0.01508,149,118.49,8.384,18,1.0,0,59
