算法,导航时间/s,轨迹长度/m,平均速度/(m/s),累计转角/rad,显著转弯数,最小障碍距离/m,侧向运动比例,Recovery次数,碰撞线段数
去除参考走廊与目标推进,49.33,11.38,0.231,9.268,8,0.2,0.31,3,0
最终四足适配系统,18.35,8.08,0.44,3.248,4,0.271,0.16,0,0
