算法,规划时间/s,访问节点数,路径长度/cell,累计转角/rad,显著转弯数,最小障碍距离/cell,风险线段数,路径点数
基础A星算法,0.01842,2203,112.2,14.137,18,1.0,0,90
参考论文改进A星算法,0.00104,47,112.49,8.497,13,1.0,2,46
